id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
43750,BE-0001,closed,Froidchapelle Glider Field,50.176388,4.352222,902.0,EU,BE,BE-WHT,Froidchapelle,no,,,,,,
43753,BE-0002,closed,Chimay-Virelles Ulmodrome,50.117778778,4.33055591583,919.0,EU,BE,BE-WHT,Chimay,no,,,,,,
43762,BE-0003,closed,Sovet Airfield,50.286944,5.038462,919.0,EU,BE,BE-WNA,Ciney,no,,,,,,
301715,BE-0004,heliport,Zomergem Heliport,51.131424,3.522277,66.0,EU,BE,BE-VOV,Zomergem,no,EBZM,,,,,
336984,BE-0006,heliport,Aalst Heliport,50.931377,4.087209,60.0,EU,BE,BE-VOV,Aalst,no,,,,,,"EBAL, EBLY"
312154,BE-0007,closed,Imelda Hospital Helipad,51.01767,4.55819,30.0,EU,BE,BE-VAN,Bonheiden,no,,,,,,
323796,BE-0008,heliport,Brecht/Vochten Heliport,51.332,4.62466,87.0,EU,BE,BE-VAN,Brecht,no,EBBV,,,,,
323798,BE-0009,closed,Jan Palfijn Hospital Heliport,51.048358,3.700268,,EU,BE,BE-VOV,Gent,no,,,,,,
323969,BE-0010,heliport,Lint Heliport,51.136231,4.478994,36.0,EU,BE,BE-VAN,Lint,no,EBLT,,,,,
323973,BE-0011,heliport,Neerpelt/Tilburgs Heliport,51.240015,5.417956,,EU,BE,BE-VLI,Neerpelt,no,EBNP,,,,,
324445,BE-0012,balloonport,Céroux-Mousty Balloon Field,50.660241,4.513276,,EU,BE,BE-WBR,Céroux-Mousty,no,,,,http://www.europeanballoon.be/fr/site-decollage-place-ceroux-mousty.html,,
30977,BE-0013,closed,Orchimont Ultralight Airfield,49.90643,4.93413,1312.0,EU,BE,BE-WNA,Vresse-sur-Semois,no,,,,,,EBOR
337610,BE-0014,heliport,Ichtegem Heliport,51.062009,3.030462,66.0,EU,BE,BE-VWV,Ichtegem,no,EBWV,,,,,
337615,BE-0015,heliport,Lochristi Heliport,51.084131,3.838701,20.0,EU,BE,BE-VOV,Lochristi,no,EBLO,,,,,
514093,BE-0016,closed,Walem Heliport,51.0703,4.44653,10.0,EU,BE,BE-VAN,Mechelen,no,,,,,,EBMW
342113,BE-0017,heliport,Montegnee / CHC Heliport,50.640702,5.533148,571.0,EU,BE,BE-WLG,,no,EBCH,,,,,
514315,BE-0018,heliport,Mont-Godinne University Hospital Heliport,50.35869,4.884487,551.0,EU,BE,BE-WNA,Yvoir,no,,,,,,
429993,BE-0019,heliport,Queen Astrid Military Hospital Heliport,50.90527,4.38936,209.0,EU,BE,BE-BRU,Brussels,no,,,,,,
514316,BE-0020,heliport,Delta General Hospital Rumbeke Campus Heliport,50.91723,3.16542,59.0,EU,BE,BE-VWV,Roeselare,no,,,,,,AZ Delta
514419,BE-0021,heliport,Camp King Albert Heliport,50.240628,5.366017,727.0,EU,BE,BE-WLX,Marche-en-Famenne,no,,,,,,
514827,BE-0022,heliport,Sankt Nikolaus Hospital Heliport,50.62952,6.02817,902.0,EU,BE,BE-WLG,Eupen,no,,,,,,
515404,BE-0023,heliport,Queen Astrid Malmedy Hospital Heliport,50.42694,6.02379,1086.0,EU,BE,BE-WLG,Malmedy,no,,,,,,
515475,BE-0024,heliport,Duffel Fire Station Heliport,51.10271,4.49139,30.0,EU,BE,BE-VAN,Duffel,no,,,,,,
515476,BE-0025,heliport,Arlon Hospital Heliport,49.67729,5.81996,1301.0,EU,BE,BE-WLX,Arlon,no,,,,,,
515477,BE-0026,heliport,Federal Road Police Brecht Heliport,51.35213,4.63124,72.0,EU,BE,BE-VAN,Brecht,no,,,,,,
515478,BE-0027,heliport,Federal Road Police West Flanders Jabbeke Heliport,51.19372,3.06436,3.0,EU,BE,BE-VWV,Jabbeke,no,,,,,,
515479,BE-0028,heliport,Federal Road Police East Flanders Wetteren Heliport,50.973,3.84096,92.0,EU,BE,BE-VOV,Wetteren,no,,,,,,
515515,BE-0029,closed,Ardenne Hospital Heliport,49.92489,5.37936,1647.0,EU,BE,BE-WLX,Libramont-Chevigny,no,,,,,,
515516,BE-0030,heliport,Camp Général Bastin Heliport,49.6814,5.77854,1270.0,EU,BE,BE-WLX,Arlon,no,,,,,,
515522,BE-0031,closed,Delta General Hospital Torhout Heliport,51.07013,3.09414,69.0,EU,BE,BE-VWV,Torhout,no,,,,,,
515523,BE-0032,heliport,Pont d'Oye Heliport,49.73447,5.672,1262.0,EU,BE,BE-WLX,Habay,no,,,,,,
515525,BE-0033,heliport,Federal Road Police Antwerp Heliport,51.20284,4.37927,25.0,EU,BE,BE-VAN,Antwerp,no,,,,,,
515526,BE-0034,heliport,Federal Police Ghent Heliport,51.06756,3.6941,26.0,EU,BE,BE-VOV,Ghent,no,,,,,,
515529,BE-0035,heliport,Sint-Elisabeth General Hospital Zottegem Heliport,50.8629,3.81877,246.0,EU,BE,BE-VOV,Zottegem,no,,,,,,
515531,BE-0036,heliport,Federal Road Police Antwerp Turnhout Heliport,51.29609,4.91018,62.0,EU,BE,BE-VAN,Turnhout,no,,,,,,
515532,BE-0037,small_airport,Federal Road Police Hainaut Péruwelz Heliport,50.53108,3.60476,151.0,EU,BE,BE-WHT,Péruwelz,no,,,,,,
515533,BE-0038,heliport,Federal Road Police Antwerp Grobbendonk Heliport,51.17411,4.75769,33.0,EU,BE,BE-VAN,Grobbendonk,no,,,,,,
515905,BE-0039,heliport,Jessa Hospital Salvator Campus Heliport,50.90931,5.34324,175.0,EU,BE,BE-VLI,Hasselt,no,,,,,,
517154,BE-0040,heliport,Dynali Factory Heliport,50.575412,4.358062,518.0,EU,BE,BE-WBR,Nivelles,no,,,,https:/https://www.dynali.com//www.dynali.com/,https://en.wikipedia.org/wiki/Dynali,
337381,EBAG,heliport,Grâce-Hollogne Agusta Heliport,50.640081,5.457585,590.0,EU,BE,BE-WLG,Grâce-Hollogne,no,EBAG,,,,,
43724,EBAK,closed,Kiel Heliport,51.20007,4.358938,10.0,EU,BE,BE-VAN,Antwerpen,no,,,,,,EBAK
298604,EBAL,heliport,Aalst Hospital Helistrip,50.943087,4.055763,141.0,EU,BE,BE-VOV,Aalst,no,,,,,,OLV-Ziekenhuis
29029,EBAM,small_airport,Amougies Airfield,50.740101,3.4849,49.0,EU,BE,BE-WHT,Mont-de-l'Enclus,no,EBAM,,,http://www.airport-amougies.com/,https://en.wikipedia.org/wiki/Amougies_Airfield,Aérodrome d'Amougies
30962,EBAR,small_airport,Arlon-Sterpenich Ultralight Airfield,49.661981,5.885953,1138.0,EU,BE,BE-WLX,Arlon,no,EBAR,,,http://www.arelair.be,https://en.wikipedia.org/wiki/Arlon-Sterpenich_Aerodrome,
43726,EBAS,heliport,Gravenwezel Heliport,51.247065,4.54272,20.0,EU,BE,BE-VAN,Schilde,no,EBAS,,,,,
43743,EBAT,closed,Meldert Heliport,50.92683,4.112962,131.0,EU,BE,BE-VOV,Aalst,no,,,,,,"EBAT, EBAT"
30963,EBAV,small_airport,Avernas-le-Bauduin Ultralight Airfield,50.70534,5.06633,394.0,EU,BE,BE-WLG,Hannut,no,EBAV,,,,https://en.wikipedia.org/wiki/Avernas-le-Bauduin_Airfield,Aéroclub de Hesbaye
2152,EBAW,medium_airport,Antwerp International Airport (Deurne),51.190667,4.463153,39.0,EU,BE,BE-VAN,Antwerp,yes,EBAW,ANR,,http://www.antwerp-airport.be/,https://en.wikipedia.org/wiki/Antwerp_International_Airport,
29030,EBBA,heliport,Baudour Heliport,50.469514,3.838767,98.0,EU,BE,BE-WHT,Douvrain,no,EBBA,,,,https://en.wikipedia.org/wiki/Baudour_Heliport,
43725,EBBC,closed,Luyckx Heliport,51.305171,4.629729,99.0,EU,BE,BE-VAN,Brecht,no,,,,,,EBBC
2153,EBBE,medium_airport,Beauvechain Air Base,50.758598,4.76833,370.0,EU,BE,BE-WBR,Beauvechain,no,EBBE,,,,https://en.wikipedia.org/wiki/Beauvechain_Air_Base,Le Culot
30964,EBBG,closed,Michamps Ulmodrome,50.0527992249,5.79861021042,1770.0,EU,BE,BE-WLX,Bastogne,no,,,,,,"EBBG, EBBG"
43723,EBBH,heliport,Keysers Heliport,51.343549,4.621927,82.0,EU,BE,BE-VAN,Brecht,no,EBBH,,,,,
2154,EBBL,medium_airport,Kleine Brogel Air Base,51.168301,5.47,200.0,EU,BE,BE-VLI,Kleine Brogel,no,EBBL,,,,https://en.wikipedia.org/wiki/Kleine_Brogel_Air_Base,
323793,EBBM,heliport,Michelbeke Heliport,50.830885,3.774096,,EU,BE,BE-VOV,Brakel,no,EBBM,,,,,
30965,EBBN,small_airport,Büllingen Airfield,50.415001,6.27639,2067.0,EU,BE,BE-WLG,Büllingen,no,EBBN,,,http://www.feuervogel.be/,https://en.wikipedia.org/wiki/B%C3%BCllingen_Airfield,Büllingen ULM
30966,EBBO,closed,Mogimont Ultralight Airfield,49.866402,5.06806,1394.0,EU,BE,BE-WLX,Bouillon,no,,,,,https://en.wikipedia.org/wiki/Mogimont_Airport,EBBO
2155,EBBR,large_airport,Brussels Airport,50.901402,4.48444,175.0,EU,BE,BE-VBR,Zaventem,yes,EBBR,BRU,,http://www.brusselsairport.be/en/,https://en.wikipedia.org/wiki/Brussels_Airport,"Brussels National, Zaventem, EBMB"
29031,EBBT,small_airport,Brasschaat Airfield,51.34259,4.503451,76.0,EU,BE,BE-VAN,Brasschaat,no,EBBT,,,http://www.aeroclub-brasschaat.be/,https://en.wikipedia.org/wiki/Brasschaat_Airfield,
30967,EBBW,closed,Bassenge-Wonck Ultralight Airfield,50.778301,5.61667,367.0,EU,BE,BE-WLG,Bassenge,no,,,,,,EBBW
2156,EBBX,small_airport,Jehonville Air Base,49.891483,5.227405,1514.0,EU,BE,BE-WLX,Bertrix,no,EBBX,,,,https://en.wikipedia.org/wiki/Jehonville_Air_Base,
43748,EBBY,small_airport,Baisy-Thy Ultralight Airfield,50.568611,4.434722,525.0,EU,BE,BE-WBR,Genappe,no,EBBY,,,http://www.ulm.be/,,ULM Baisy-Thy
43749,EBBZ,small_airport,Buzet Aerodrome,50.542335,4.382472,522.0,EU,BE,BE-WHT,Pont-à-Celles,no,EBBZ,,,http://www.confluence.be,https://fr.wikipedia.org/wiki/A%C3%A9rodrome_de_Pont-%C3%A0-Celles_Buzet,"Aérodrome de Pont-à-Celles Buzet, Pont-à-Celles Buzet Airfield, Base ULM de Pont-à-Celles Buzet, Base ULM de Buzet"
29771,EBCF,small_airport,Cerfontaine Airfield,50.152802,4.38722,955.0,EU,BE,BE-WNA,Cerfontaine,no,EBCF,,,https://www.cerfontaine-aerodrome.com/,https://en.wikipedia.org/wiki/Cerfontaine_Airfield,
300107,EBCH,closed,Casteau / SHAPE Helipad,50.503056,3.982501,287.0,EU,BE,BE-WHT,Mons,no,,,,,,"Supreme Headquarters Allied Powers Europe, NATO, EBCT"
2157,EBCI,medium_airport,Brussels South Charleroi Airport,50.460982,4.457158,614.0,EU,BE,BE-WHT,Charleroi,yes,EBCI,CRL,,http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1,https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,Gosselies Airport
43761,EBCR,closed,Chimay-Ronvaux Ultralight Airfield,50.247223,5.113889,1076.0,EU,BE,BE-WNA,Ciney,no,,,,,,"EBCR, Chimay-Ronvaux Ulmodrome"
30968,EBCS,closed,Saint-Remy Ultralight Airfield,50.0583,4.28194,820.0,EU,BE,BE-WHT,Chimay,no,,,,,,EBCS
2158,EBCV,medium_airport,Chièvres Air Base,50.575801849365234,3.8310000896453857,194.0,EU,BE,BE-WHT,Chièvres,no,EBCV,,,,https://en.wikipedia.org/wiki/Chievres_Air_Base,
29032,EBDI,heliport,Diksmuide Heliport,51.019276,2.858205,13.0,EU,BE,BE-VWV,Diksmuide,no,EBDI,,,,https://en.wikipedia.org/wiki/Diksmuide_Heliport,
43738,EBDL,closed,Lanklaar Heliport,51.017463,5.69981,131.0,EU,BE,BE-VLI,Dilsen-Stokkem,no,,,,,,EBDL
323797,EBDR,heliport,Antwerp/Commandant Fourcault Heliport,51.239556,4.407915,,EU,BE,BE-VAN,Antwerp,no,EBDR,,,,,
30969,EBDT,small_airport,Schaffen Airfield,51.004032,5.064697,100.0,EU,BE,BE-VBR,Diest,no,EBDT,,,,https://en.wikipedia.org/wiki/Schaffen_Air_Base,
43734,EBDW,closed,Webbekom Heliport,50.958132,5.064743,130.0,EU,BE,BE-VBR,Diest,no,,,,,,"Paramount, EBDW"
337294,EBDZ,heliport,Deinze - De Groote,50.963801,3.542682,36.0,EU,BE,BE-VOV,Deinze,no,EBDZ,,,,,
337302,EBEA,heliport,Alma General Hospital Heliport,51.191152,3.534476,24.0,EU,BE,BE-VOV,Eeklo,no,EBEA,,,,,
324056,EBEB,heliport,Belzele Heliport,51.100833,3.653611,27.0,EU,BE,BE-VOV,Evergem,no,EBEB,,,,,
324980,EBEH,seaplane_base,Eau d'Heure Seaplane Base,50.183611,4.369722,810.0,EU,BE,BE-WNA,Froidchapelle,no,EBEH,,,http://www.seaplane.be,,Hydrobase de l'Eau d'Heure
43721,EBEN,heliport,Engels Heliport,51.211858,4.581093,33.0,EU,BE,BE-VAN,Ranst,no,EBEN,,,,,
43727,EBEU,heliport,Antwerp University Hospital Heliport,51.155894,4.409841,46.0,EU,BE,BE-VAN,Edegem,no,EBEU,,,,,UZA
43760,EBFD,closed,Dompire Heliport,50.550835,4.996389,607.0,EU,BE,BE-WNA,Fernelmont,no,,,,,,EBFD
2159,EBFN,medium_airport,Koksijde Air Base,51.090302,2.65278,20.0,EU,BE,BE-VWV,Koksijde,no,EBFN,,,,https://en.wikipedia.org/wiki/Koksijde_Air_Base,Coxyde
43756,EBFR,heliport,Francorchamps Heliport,50.456121,5.953796,1575.0,EU,BE,BE-WLG,Stavelot,no,EBFR,,,,,
2160,EBFS,medium_airport,Florennes Air Base,50.2433013916,4.64583015442,935.0,EU,BE,BE-WNA,Florennes,no,EBFS,,,,https://en.wikipedia.org/wiki/Florennes_Air_Base,
323958,EBGA,heliport,UZ Leuven Hospital Heliport,50.877291,4.672821,,EU,BE,BE-VBR,Leuven,no,EBGA,,,,,
28478,EBGB,small_airport,Grimbergen Airfield,50.948546,4.39181,70.0,EU,BE,BE-VBR,Grimbergen,no,EBGB,,,,https://en.wikipedia.org/wiki/Grimbergen_Airfield,
323959,EBGE,heliport,Gervinnes Heliport,50.375769,4.486277,633.0,EU,BE,BE-WHT,Loverval,no,EBGE,,,,,"Charleroi Grand Hospital IMTR Heliport, Grand Hôpital de Charleroi (GHDC Asbl) Heliport"
29033,EBGG,small_airport,Overboelare Airfield,50.7556,3.86389,56.0,EU,BE,BE-VOV,Geraardsbergen,no,EBGG,,,,https://en.wikipedia.org/wiki/Overboelare_Airfield,
308567,EBGL,closed,CRC Glons Heliport,50.73973,5.5421,438.0,EU,BE,BE-WLG,Bassenge,no,,,,,,"EBGL, EBGL"
29034,EBGT,heliport,Ghent/Industry Zone Heliport,51.020551,3.730341,26.0,EU,BE,BE-VOV,Gent,no,EBGT,GNE,,,https://en.wikipedia.org/wiki/Ghent/Industry_Zone_Heliport,
342118,EBGU,heliport,Nevele Heliport,51.046686,3.520469,26.0,EU,BE,BE-VOV,Deinze,no,EBGU,,,,,
43736,EBHA,heliport,Ham Heliport,51.079179,5.108932,98.0,EU,BE,BE-VLI,Ham,no,EBHA,,,,,
30970,EBHE,closed,Héron-Couthuin Ultralight Airfield,50.538898,5.10917,607.0,EU,BE,BE-WLG,Héron,no,,,,,,EBHE
337611,EBHF,heliport,Kallo - De Perel Heliport,51.268889,4.295833,30.0,EU,BE,BE-VOV,Beveren,no,EBHF,,,,,
43735,EBHL,heliport,Halen Heliport,50.930274,5.080558,121.0,EU,BE,BE-VLI,Halen,no,EBHL,,,,,
43740,EBHM,heliport,Maasland Heliport,50.909815,5.349017,164.0,EU,BE,BE-VLI,Hasselt,no,EBHM,,,,,
29954,EBHN,small_airport,Hoevenen Airfield,51.306098938,4.387219905849999,10.0,EU,BE,BE-VAN,Hoevenen,no,EBHN,,,,https://en.wikipedia.org/wiki/Hoevenen_Airfield,
43730,EBHO,heliport,Holsbeek heliport,50.919676,4.768925,82.0,EU,BE,BE-VBR,Holsbeek,no,EBHO,,,,,
337583,EBHS,heliport,Stevoort Heliport,50.923472,5.234433,66.0,EU,BE,BE-VLI,Hasselt,no,EBHS,,,,,
